NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value,Score4Label,Score4Type,Score4Value
373737,1864228,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,224,CPI,Scale,50,,,
373737,1864228,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1791284,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100,,,
373737,1791284,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100,,,
373737,1596742,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2-W,Scaled Score,Scale,216,CPI,Scale,25,,,
373737,1596742,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75,,,
373737,1419579,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5-A,Scaled Score,Scale,280,CPI,Scale,100,,,
373737,1419579,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,274,CPI,Scale,100,,,
373737,1339404,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1339404,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100,,,
373737,1393375,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100,,,
373737,1393375,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1951579,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,248,CPI,Scale,100,,,
373737,1951579,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1209961,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100,,,
373737,1209961,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75,,,
373737,1238037,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100,,,
373737,1238037,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,264,CPI,Scale,100,,,
373737,1639017,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5-A,Scaled Score,Scale,268,CPI,Scale,100,,,
373737,1639017,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,264,CPI,Scale,100,,,
373737,1767397,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1767397,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1766010,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1766010,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1038988,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5-A,Scaled Score,Scale,264,CPI,Scale,100,,,
373737,1038988,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1868470,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,248,CPI,Scale,100,,,
373737,1868470,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75,,,
373737,1206098,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75,,,
373737,1206098,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
